1,-78.6963046,35.72749,16.103,"(-0.03826553001999855,0.15703332424163818,-0.09400683641433716)","(0.0,0.01,-0.02)",47.929,2025-03-11 15:28:51.112282,4,29
2,-78.6963046,35.72749,16.115,"(-0.038137126713991165,0.15714025497436523,-0.09428289532661438)","(0.0,0.01,-0.01)",47.933,2025-03-11 15:28:52.112571,4,29
3,-78.6963046,35.7274901,16.107,"(-0.038060374557971954,0.15715715289115906,-0.09455421566963196)","(0.0,0.01,-0.01)",47.926,2025-03-11 15:28:53.113237,4,29
4,-78.6963046,35.7274902,16.108,"(-0.037854693830013275,0.15708287060260773,-0.09461778402328491)","(0.0,0.0,-0.01)",47.924,2025-03-11 15:28:54.115113,4,29
5,-78.6963047,35.7274904,16.103,"(-0.037977561354637146,0.15718159079551697,-0.0948978066444397)","(0.0,0.0,-0.01)",47.92,2025-03-11 15:28:55.117011,4,29
6,-78.6963047,35.7274906,16.105,"(-0.03781940042972565,0.1570766419172287,-0.09522868692874908)","(0.0,0.0,-0.01)",47.924,2025-03-11 15:28:56.118110,4,29
7,-78.6963047,35.7274907,16.119,"(-0.037874288856983185,0.15708249807357788,-0.09510877728462219)","(0.0,0.0,-0.01)",47.918,2025-03-11 15:28:57.119163,4,29
8,-78.6963046,35.7274908,16.105,"(-0.03775027394294739,0.15701542794704437,-0.09496380388736725)","(0.0,0.0,-0.01)",47.925,2025-03-11 15:28:58.120049,4,29
9,-78.6963045,35.7274908,16.09,"(-0.03771014139056206,0.1570238620042801,-0.09498140215873718)","(0.0,0.0,-0.01)",47.921,2025-03-11 15:28:59.120818,4,29
10,-78.6963044,35.7274908,16.097,"(-0.037916477769613266,0.15684279799461365,-0.09505744278430939)","(0.0,0.0,-0.01)",47.918,2025-03-11 15:29:00.121359,4,29
11,-78.6963043,35.7274908,16.101,"(-0.037994541227817535,0.15670613944530487,-0.09475092589855194)","(0.0,0.0,-0.01)",47.919,2025-03-11 15:29:01.121806,4,29
12,-78.6963043,35.7274907,16.098,"(-0.03824860602617264,0.15659761428833008,-0.09482994675636292)","(0.0,0.0,-0.01)",47.924,2025-03-11 15:29:02.122866,4,29
13,-78.6963043,35.7274906,16.091,"(-0.038073934614658356,0.1567564755678177,-0.09459936618804932)","(0.0,0.0,-0.01)",47.923,2025-03-11 15:29:03.123413,4,29
14,-78.6963043,35.7274905,16.087,"(-0.03819938004016876,0.1566062718629837,-0.09471562504768372)","(-0.01,0.0,-0.01)",47.919,2025-03-11 15:29:04.123821,4,29
15,-78.6963043,35.7274904,16.08,"(-0.038223303854465485,0.15675915777683258,-0.09468346834182739)","(-0.01,0.0,-0.01)",47.918,2025-03-11 15:29:05.125823,4,29
16,-78.6963043,35.7274904,16.086,"(-0.03847290948033333,0.15677767992019653,-0.09473811089992523)","(0.0,0.0,-0.01)",47.917,2025-03-11 15:29:06.126793,4,29
